S,E,I,R,D
0.8002698428503219,0.002170548345097747,0.006545021295352064,0.18941697965055995,0.0015976078586688632
0.7991858294391071,0.0021692875837637004,0.006541258466198482,0.19049690816429304,0.001606716346638228
0.7981024478560171,0.002168025374971839,0.006537491359792123,0.19157621581121578,0.0016158195980036877
0.7970196988288912,0.0021667617146118147,0.006533719964103298,0.1926549018855815,0.0016249176068127318
0.7959375830876423,0.002165496598554819,0.006529944267048785,0.19373296567965853,0.001634010367096109
0.7948561013642662,0.002164230022653465,0.006526164256491503,0.19481040648372158,0.0016430978728677519
0.7937752543928512,0.002162961982741682,0.006522379920240187,0.19588722358604269,0.0016521801181247026
0.7926950429095875,0.0021616924746345936,0.006518591246049064,0.19696341627288233,0.0016612570968470369
0.7916154676527764,0.0021604214941284066,0.006514798221617513,0.19803898382848042,0.0016703288029977885
0.7905365293628402,0.002159149037000296,0.006511000834589742,0.1991139255350473,0.001679395230522873
0.7894582287823321,0.0021578750990082812,0.006507199072554445,0.20018824067275462,0.0016884563733510103
0.7883805666559451,0.002156599675891116,0.006503392923044464,0.2012619285197261,0.0016975122253936486
0.7873035437305226,0.0021553227633681667,0.0064995823735364494,0.20233498835202843,0.0017065627805448855
